E_ID,Name,Age,Department,Role,Employment Type,Contract Duration,Band,Exp Yrs,Tenure Yrs,Attendance(%),Leave,Tasks Assigned,Tasks Completed,Tasks Completion Rate(%),Task Quality Score,Goal Achievement(%),Manager Feedback,Teamwork Score,Leadership Score,Client Feedback,Communication,Overtime,Training Hours,Training Completion(%),Performance Score,Performance Category,Recommendation
E0524,Vividha Pradhan,47,Information Technology,Cloud Engineer,Full-Time,Permanent,B5,23.3,15.8,83.7,5,40,23,57.5,62.13,58.92,61.27,81.1,74.26,62.64,71.08,5.4,5,40.62,64.88,Average,Training
E0525,Prateek Das,34,Operations,Process Analyst,Full-Time,Permanent,B3,6.0,2.3,96.0,5,30,24,80.0,75.56,76.89,75.23,70.68,65.0,78.55,82.11,5.0,40,99.19,79.06,Good,Incentive
E0526,Pratima Kamat,48,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,12.2,3.8,90.1,4,34,28,82.35,77.18,78.39,85.58,85.36,75.73,74.82,65.22,8.3,15,70.53,80.39,Excellent,Incentive
E0527,Natwar Reddy,48,Customer Support,Support Executive,Full-Time,Permanent,B4,10.6,1.2,87.8,11,60,47,78.33,75.56,79.21,75.39,72.14,65.06,74.42,78.67,29.5,30,77.94,77.07,Good,Incentive
E0528,Natasha Dadhich,32,Finance,Accountant,Part-Time,12 Months,B2,3.7,3.2,90.0,7,44,30,68.18,69.94,66.88,77.61,77.84,69.13,69.13,70.82,3.6,25,77.97,73.53,Good,Training
E0529,Bhagwat Malhotra,39,Marketing,Digital Marketing Specialist,Contract,12 Months,B4,12.0,2.0,93.4,7,15,12,80.0,82.5,83.71,83.06,86.75,80.42,78.8,80.19,0.0,15,70.93,82.92,Excellent,Incentive
E0530,Govind Maurya,43,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,12.5,3.1,94.9,4,29,21,72.41,73.32,69.36,74.14,82.44,65.51,71.04,69.02,12.0,50,75.17,75.16,Good,Training
E0531,Anshuman Sood,29,Customer Support,Support Analyst,Full-Time,Permanent,B2,3.9,1.0,90.6,10,42,35,83.33,72.08,77.53,79.24,72.53,65.99,76.2,70.87,5.8,25,78.74,77.73,Good,Incentive
E0532,Ritu Vats,29,AI & Data Science,Data Scientist,Part-Time,6 Months,B3,5.5,2.0,90.7,5,30,22,73.33,68.84,68.06,73.17,79.46,61.91,66.1,61.44,11.0,15,54.88,71.74,Good,Training
E0533,Mahadevi Kamble,30,Sales,Business Development Executive,Full-Time,Permanent,B3,6.6,1.0,82.0,10,38,19,50.0,56.35,55.13,70.17,72.43,60.83,59.08,60.42,6.7,25,66.16,62.52,Average,Training
E0534,Ragini Maheshwari,45,Marketing,Marketing Executive,Full-Time,Permanent,B4,11.0,6.4,86.5,13,27,16,59.26,64.37,68.2,77.89,78.68,69.98,70.27,78.32,11.4,20,78.15,71.81,Good,Training
E0535,Saket Kamal,53,Information Technology,DevOps Engineer,Full-Time,Permanent,B5,29.8,10.2,82.0,9,34,19,55.88,67.44,66.64,72.39,71.55,85.84,71.6,68.73,12.2,30,83.1,70.17,Good,Training
E0536,Jeetu Mathur,57,Sales,Sales Executive,Full-Time,Permanent,B5,17.4,1.2,92.7,10,47,35,74.47,67.3,75.05,72.16,68.52,79.84,70.31,74.93,5.3,40,96.44,75.54,Good,Incentive
E0537,Apoorv Bachchan,39,AI & Data Science,Data Analyst,Full-Time,Permanent,B3,5.4,1.0,96.1,2,36,25,69.44,67.93,67.1,65.59,73.11,51.54,73.63,78.26,16.4,10,51.96,70.2,Good,Training
E0538,Aparna Prakash,46,Information Technology,System Administrator,Full-Time,Permanent,B4,14.8,8.4,94.3,3,43,33,76.74,82.9,81.32,74.16,80.2,73.29,77.73,84.46,14.3,30,85.03,80.74,Excellent,Incentive
E0539,Sameeksha Jahagirdar,56,Finance,Accountant,Contract,12 Months,B5,15.2,8.1,86.1,13,29,17,58.62,66.56,60.79,71.7,59.35,76.88,65.08,62.59,1.4,30,86.82,67.76,Average,Training
E0540,Anadi Goswami,48,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B5,21.7,16.6,84.5,10,39,25,64.1,68.45,63.83,65.4,73.71,70.87,66.22,73.38,9.6,30,89.65,70.09,Good,Training
E0541,Anand More,37,Customer Support,Support Analyst,Full-Time,Permanent,B4,12.6,9.8,88.4,12,49,31,63.27,73.61,67.27,65.35,66.74,70.85,69.79,66.47,10.0,20,74.06,70.0,Good,Training
E0542,Moni Shastry,26,Human Resources,Talent Acquisition Specialist,Contract,12 Months,B1,1.1,0.8,86.5,9,31,19,61.29,57.75,62.07,63.46,76.33,58.86,65.41,71.13,7.8,20,61.85,65.83,Average,Training
E0543,Banshidhar Bhatt,47,Information Technology,System Administrator,Full-Time,Permanent,B5,15.1,14.7,74.2,25,27,15,55.56,58.52,61.55,63.31,70.25,65.72,61.06,58.43,5.7,10,58.75,62.48,Average,PIP
E0544,Anushree Thackeray,55,Operations,Process Analyst,Full-Time,Permanent,B5,22.2,9.7,84.9,15,28,16,57.14,64.38,66.42,72.23,76.69,86.07,67.85,62.7,2.9,30,93.93,70.71,Good,Training
E0545,Arunita Singh,24,Information Technology,System Administrator,Full-Time,Permanent,B1,1.0,0.7,91.3,2,24,21,87.5,76.46,80.24,75.65,65.25,54.72,80.54,75.84,1.1,20,55.8,76.98,Good,Incentive
E0546,Sudha Guru,56,Information Technology,Software Engineer,Full-Time,Permanent,B4,10.4,1.0,90.6,4,40,34,85.0,81.74,85.37,82.13,81.06,65.18,78.05,77.99,9.9,25,82.94,82.51,Excellent,Incentive
E0547,Shivanshi Thackeray,35,Sales,Sales Executive,Full-Time,Permanent,B3,6.6,3.5,94.1,8,48,34,70.83,63.92,69.99,61.59,62.22,52.15,70.31,79.67,13.8,25,70.67,69.22,Average,Training
E0548,Deepa Vaidya,54,Customer Support,Support Analyst,Full-Time,Permanent,B5,21.8,4.1,82.8,6,20,10,50.0,59.33,62.71,58.11,62.29,65.23,65.39,58.07,3.5,40,91.45,63.04,Average,Training
E0549,Shailesh Khajuria,51,Human Resources,HR Executive,Contract,6 Months,B5,24.0,0.7,97.9,1,27,18,66.67,61.28,70.12,75.82,62.43,76.33,65.16,66.22,4.4,10,64.23,70.71,Good,Training
E0550,Karan Mehta,51,AI & Data Science,ML Engineer,Full-Time,Permanent,B5,23.6,7.5,88.9,13,26,22,84.62,80.87,81.47,86.84,72.55,80.78,80.68,65.95,0.0,10,49.01,80.04,Excellent,Incentive
E0551,Himanshi Saha,38,Customer Support,Customer Success Associate,Full-Time,Permanent,B4,12.4,8.1,97.8,0,50,33,66.0,77.27,74.04,82.14,81.33,67.49,69.48,64.09,12.3,20,55.97,75.68,Good,Training
E0552,Abhigyan Rajawat,32,Marketing,Marketing Analyst,Full-Time,Permanent,B2,3.8,2.0,87.3,15,20,16,80.0,75.89,81.81,82.96,67.46,58.25,74.79,65.43,0.0,30,85.55,77.78,Good,Incentive
E0553,Bahadur Ahuja,42,AI & Data Science,ML Engineer,Full-Time,Permanent,B3,7.2,2.9,93.8,10,20,13,65.0,62.52,61.28,73.34,81.26,57.61,63.4,60.62,9.8,25,65.86,69.2,Average,Training
E0554,Dheeraj Prakash,52,Finance,Finance Executive,Full-Time,Permanent,B5,22.3,8.2,93.6,9,30,28,93.33,91.27,92.46,80.74,67.27,87.6,83.38,72.21,4.0,10,42.37,84.03,Excellent,Incentive
E0555,Hema Atrey,36,AI & Data Science,Data Scientist,Full-Time,Permanent,B4,10.4,3.4,97.3,8,31,24,77.42,77.92,80.95,82.66,73.05,72.18,77.15,67.98,6.7,40,84.63,79.97,Good,Incentive
E0556,Monu Seth,26,AI & Data Science,Data Analyst,Part-Time,6 Months,B1,1.5,0.5,92.4,7,26,17,65.38,71.0,72.44,74.33,67.82,57.21,72.85,73.0,2.5,10,46.98,71.0,Good,Training
E0557,Kalavati Pradhan,47,Information Technology,DevOps Engineer,Full-Time,Permanent,B5,16.5,10.9,91.7,10,23,18,78.26,69.47,73.19,75.38,70.44,69.65,74.89,87.51,6.3,15,69.33,75.73,Good,Training
E0558,Yashodhara Anand,37,Marketing,Marketing Analyst,Contract,24 Months,B3,5.8,4.8,97.0,2,36,27,75.0,70.13,68.46,75.25,75.76,55.95,72.9,69.74,12.1,25,82.51,74.66,Good,Training
E0559,Vasundhara Rai,46,Sales,Account Manager,Full-Time,Permanent,B3,8.9,6.1,94.3,5,39,31,79.49,81.7,79.77,86.55,71.71,59.98,82.55,76.75,5.5,25,73.03,80.34,Excellent,Incentive
E0560,Pooja Gaharwar,28,AI & Data Science,AI Engineer,Full-Time,Permanent,B2,2.6,1.4,88.3,14,34,18,52.94,68.7,58.46,65.24,75.15,60.35,66.52,59.46,9.9,50,81.06,66.52,Average,Training
E0561,Amogh Shekhawat,46,Marketing,Marketing Executive,Full-Time,Permanent,B4,10.1,9.6,83.6,14,36,24,66.67,63.49,66.66,71.8,64.6,57.61,68.15,79.7,13.6,20,71.51,68.96,Average,Training
E0562,Ritu Desai,35,Sales,Business Development Executive,Full-Time,Permanent,B4,12.8,11.7,82.4,5,32,15,46.88,62.64,55.57,66.36,62.96,69.96,65.62,66.92,10.2,20,62.28,62.49,Average,Training
E0563,Niranjan Saxena,29,Customer Support,Support Analyst,Full-Time,Permanent,B3,6.2,3.1,92.2,2,40,21,52.5,53.47,60.04,69.62,83.38,65.36,62.43,77.06,8.1,20,55.32,65.91,Average,Training
E0564,Anisha Raina,30,Finance,Accountant,Full-Time,Permanent,B2,2.6,2.0,92.8,8,39,23,58.97,64.91,68.51,67.83,75.15,61.52,73.05,74.71,6.2,25,65.44,69.56,Average,Training
E0565,Shashinath Hatwal,32,Sales,Account Manager,Full-Time,Permanent,B3,5.5,4.1,87.1,12,33,27,81.82,85.79,77.22,76.81,83.74,62.6,83.93,84.29,7.2,25,70.72,80.41,Excellent,Incentive
E0566,Parthivi Garg,48,Sales,Account Manager,Full-Time,Permanent,B5,22.5,7.7,96.5,7,40,34,85.0,73.59,78.59,84.68,83.02,78.54,77.19,71.63,13.1,25,70.55,81.13,Excellent,Incentive
E0567,Mahua Dasgupta,25,Operations,Operations Manager,Full-Time,Permanent,B2,2.1,1.6,96.5,4,18,11,61.11,73.22,64.03,68.52,76.38,60.65,68.3,74.54,2.6,20,65.94,70.79,Good,Training
E0568,Ahilya Jain,27,Information Technology,Software Engineer,Full-Time,Permanent,B2,4.7,3.3,93.8,10,20,17,85.0,79.71,83.1,74.14,74.03,67.0,76.56,65.14,0.0,15,65.4,78.78,Good,Incentive
E0569,Anugya Unadkat,45,Customer Support,Support Executive,Contract,12 Months,B5,16.3,15.8,82.0,5,40,23,57.5,64.46,65.11,64.45,78.43,81.87,65.51,70.23,11.1,15,47.81,67.04,Average,Training
E0570,Jagdeesh Awasthi,57,Finance,Accountant,Full-Time,Permanent,B5,35.0,6.7,84.7,11,40,26,65.0,69.82,72.71,70.81,78.21,76.9,73.3,66.94,17.1,20,64.11,72.1,Good,Training
E0571,Arush Shah,57,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B5,31.3,30.9,84.8,7,23,14,60.87,74.23,71.21,73.42,69.86,83.86,73.86,73.18,0.0,25,76.35,72.79,Good,Training
E0572,Amar Mangeshkar,39,Marketing,Marketing Executive,Full-Time,Permanent,B4,10.6,4.6,96.3,8,29,24,82.76,81.08,76.2,74.33,69.96,70.1,76.02,85.18,0.0,30,84.24,79.56,Good,Incentive
E0573,Sudhir Sahani,54,Sales,Account Manager,Contract,6 Months,B5,23.9,7.4,91.5,5,33,24,72.73,78.75,75.37,74.46,87.85,83.75,80.43,82.26,8.1,30,84.69,79.69,Good,Incentive
E0574,Kanakprasad Vishwakarma,35,Human Resources,HR Executive,Full-Time,Permanent,B4,12.8,9.9,99.8,0,35,28,80.0,85.75,83.3,78.06,70.97,74.33,80.77,66.26,7.2,30,79.53,81.19,Excellent,Incentive
E0575,Vrinda Goswami,47,Information Technology,Software Engineer,Full-Time,Permanent,B4,14.3,3.6,68.6,16,22,13,59.09,62.05,64.78,60.35,60.09,61.62,68.98,67.97,6.9,25,64.89,62.98,Average,PIP
E0576,Vivek Trivedi,36,AI & Data Science,ML Engineer,Full-Time,Permanent,B4,13.0,7.3,97.9,3,35,23,65.71,71.08,66.27,65.6,78.52,76.78,69.85,66.65,9.9,25,84.79,72.84,Good,Training
E0577,Nihal Hajariya,33,Operations,Process Analyst,Full-Time,Permanent,B4,10.5,9.3,96.2,4,29,18,62.07,59.73,65.67,69.03,60.75,58.01,62.07,62.49,1.1,20,71.46,66.87,Average,Training
E0578,Apoorva Phogat,25,Sales,Sales Executive,Full-Time,Permanent,B1,1.1,1.1,94.0,2,31,24,77.42,68.85,78.76,74.62,81.53,61.92,77.18,85.11,2.5,30,72.27,77.32,Good,Incentive
E0579,Prerna Dwivedi,51,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B5,19.1,3.8,84.0,8,24,13,54.17,69.23,62.87,67.57,57.7,66.19,66.33,59.23,0.0,50,94.27,66.55,Average,Training
E0580,Uddhav Deewan,47,Information Technology,Software Engineer,Contract,24 Months,B5,23.1,12.5,93.7,10,15,9,60.0,57.33,60.09,59.16,62.72,79.19,68.45,80.82,0.0,30,83.1,66.71,Average,Training
E0581,Mithilesh Rana,31,Sales,Sales Executive,Full-Time,Permanent,B3,5.3,1.0,82.9,8,35,25,71.43,67.55,72.19,63.54,67.97,60.51,76.6,83.18,11.2,30,90.78,71.85,Good,Training
E0582,Adyashankar Dhanuka,47,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B3,8.9,2.2,94.4,8,41,29,70.73,73.46,76.18,77.3,81.91,72.09,71.79,67.7,10.6,25,72.9,76.51,Good,Incentive
E0583,Abhilasha Mondal,56,Operations,Operations Executive,Part-Time,12 Months,B5,23.8,14.9,93.5,9,24,18,75.0,77.85,73.23,77.41,81.55,81.46,70.79,64.67,0.0,15,64.52,77.1,Good,Training
E0584,Pramila Bharati,37,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,12.3,4.9,96.4,1,32,29,90.62,91.22,84.71,83.26,73.96,64.99,78.05,66.24,16.6,20,57.09,82.83,Excellent,Incentive
E0585,Ameya Anand,27,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B2,3.5,0.1,97.5,3,39,33,84.62,76.19,77.92,77.67,76.17,68.13,82.26,88.59,7.5,25,72.28,80.39,Excellent,Incentive
E0586,Sarvesh Dave,40,AI & Data Science,Data Scientist,Full-Time,Permanent,B4,13.4,5.9,96.1,3,34,28,82.35,80.28,80.72,72.37,68.34,72.84,80.56,88.25,9.7,25,77.96,79.78,Good,Incentive
E0587,Bipin Rana,35,AI & Data Science,AI Engineer,Full-Time,Permanent,B2,3.3,0.0,70.4,13,22,10,45.45,60.38,51.94,62.92,73.02,55.03,58.91,54.16,0.0,20,77.76,59.74,Needs Improvement,PIP
E0588,Sudhir Awasthi,35,Information Technology,DevOps Engineer,Full-Time,Permanent,B3,7.9,7.1,94.4,5,19,12,63.16,63.57,67.98,77.44,68.99,57.92,70.14,71.14,4.5,20,62.5,70.25,Good,Training
E0589,Arijit Bendre,54,Sales,Business Development Executive,Full-Time,Permanent,B5,17.7,14.9,94.7,8,48,35,72.92,72.21,75.42,73.49,70.54,72.47,72.88,71.64,13.4,15,52.27,74.09,Good,Training
E0590,Somesh Khemka,25,Marketing,Marketing Analyst,Full-Time,Permanent,B2,2.2,0.5,81.0,15,29,20,68.97,67.59,73.02,77.16,66.5,51.25,73.18,78.54,1.2,15,57.11,70.77,Good,Training
E0591,Kirti Bhatnagar,56,AI & Data Science,Data Scientist,Full-Time,Permanent,B4,12.9,12.7,93.8,8,33,24,72.73,78.46,72.17,73.18,82.26,65.22,77.9,73.11,1.8,25,80.88,76.94,Good,Training
E0592,Pranav Mantri,35,AI & Data Science,Data Scientist,Contract,6 Months,B3,6.5,0.6,96.7,2,21,17,80.95,75.5,73.51,76.69,83.04,63.94,72.43,70.05,11.1,15,55.08,77.05,Good,Training
E0593,Kashinath Khajuria,28,Human Resources,HR Analyst,Full-Time,Permanent,B2,2.2,1.2,94.9,5,18,13,72.22,76.06,70.59,72.54,67.84,53.31,73.98,80.53,0.0,25,82.95,74.52,Good,Training
E0594,Lavisha Negi,38,Operations,Operations Manager,Contract,24 Months,B3,8.1,2.8,70.2,15,19,11,57.89,66.05,65.94,76.43,81.5,74.82,64.44,62.85,0.4,25,69.81,68.71,Average,PIP
E0595,Aviral Saxena,55,Customer Support,Support Executive,Full-Time,Permanent,B5,22.9,22.7,91.3,10,42,33,78.57,85.76,84.42,73.12,65.96,80.16,82.31,71.42,9.6,20,61.82,78.79,Good,Incentive
E0596,Ranjana Pawar,35,Marketing,Marketing Executive,Contract,24 Months,B2,3.4,2.0,81.8,12,27,15,55.56,60.41,63.1,62.57,66.22,54.36,68.38,66.08,20.1,20,72.68,64.12,Average,Training
E0597,Aditya Giri,47,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B5,23.4,21.5,74.3,20,42,21,50.0,58.9,54.25,68.11,65.2,68.41,62.47,77.55,16.1,30,91.59,63.64,Average,PIP
E0598,Dharmendra Raj,49,Operations,Process Analyst,Full-Time,Permanent,B5,19.4,16.9,94.4,3,39,26,66.67,62.97,69.08,64.37,63.8,66.75,73.29,77.93,16.9,5,52.29,68.8,Average,Training
E0599,Indrasen Sinha,29,Sales,Sales Executive,Full-Time,Permanent,B2,2.8,2.3,92.5,4,35,22,62.86,63.4,67.24,75.38,63.95,47.25,63.67,61.48,8.4,25,86.82,68.94,Average,Training
E0600,Yashwant Deshmukh,53,Information Technology,Software Engineer,Contract,6 Months,B5,16.9,14.1,83.7,15,24,14,58.33,59.23,59.49,62.14,56.66,76.02,63.53,61.55,4.6,15,51.53,62.55,Average,Training
E0601,Roshan Javdekar,32,Human Resources,HR Analyst,Full-Time,Permanent,B3,8.6,0.7,93.6,2,17,11,64.71,65.13,69.63,77.64,79.54,75.34,71.68,80.03,0.0,20,75.27,74.0,Good,Training
E0602,Ratnesh Bind,52,Operations,Operations Executive,Contract,6 Months,B4,12.6,2.1,92.0,9,30,18,60.0,72.66,70.9,81.04,85.4,73.23,70.12,74.69,0.7,30,80.49,75.36,Good,Training
E0603,Jyotiraditya Modi,40,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B4,9.4,4.1,97.8,2,38,26,68.42,78.53,70.44,65.6,66.29,56.97,73.64,70.98,14.1,40,81.94,73.03,Good,Training
E0604,Virendra Reddy,36,Sales,Sales Executive,Contract,6 Months,B3,8.6,5.7,90.5,7,42,27,64.29,67.63,65.49,64.72,81.58,62.74,67.35,82.72,18.9,20,58.97,70.12,Good,Training
E0605,Kaavya Awasthi,34,AI & Data Science,Data Scientist,Full-Time,Permanent,B4,9.5,7.7,96.7,7,17,16,94.12,78.99,83.7,75.03,83.43,75.7,85.06,88.97,0.0,20,62.01,83.38,Excellent,Incentive
E0606,Padmaja Jadhav,54,Customer Support,Support Analyst,Part-Time,6 Months,B5,25.0,15.2,96.5,7,48,39,81.25,70.65,76.4,67.4,77.46,70.81,75.17,80.26,6.0,25,84.77,77.3,Good,Training
E0607,Gunjan Kamble,49,Human Resources,HR Executive,Part-Time,6 Months,B4,14.1,11.0,91.1,2,25,13,52.0,57.53,59.74,65.61,83.65,71.48,63.5,77.4,5.0,30,74.7,67.06,Average,Training
E0608,Vipul Lalwani,39,Sales,Sales Executive,Part-Time,12 Months,B3,7.4,2.8,94.3,6,28,23,82.14,74.47,75.99,67.02,71.89,59.02,77.69,77.16,1.8,50,86.17,76.56,Good,Training
E0609,Indumati Roy,56,Finance,Financial Analyst,Contract,12 Months,B5,15.5,10.9,90.8,4,25,17,68.0,78.43,69.29,80.01,73.77,71.81,76.0,76.56,0.0,25,72.39,75.65,Good,Training
E0610,Pushpa Rout,46,Information Technology,Cloud Engineer,Full-Time,Permanent,B5,21.9,1.2,90.7,3,17,10,58.82,58.18,57.85,58.04,61.04,70.2,62.52,73.21,0.0,10,48.59,62.83,Average,Training
E0611,Devang Gavaskar,28,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B2,3.3,0.5,97.6,7,20,16,80.0,71.52,80.15,72.0,75.44,59.25,71.02,68.11,2.0,5,37.98,74.67,Good,Training
E0612,Tejpratap Kannaujiya,29,Finance,Financial Analyst,Part-Time,12 Months,B1,1.9,1.5,93.3,8,32,23,71.88,65.41,67.24,61.38,67.68,49.54,63.78,62.6,3.0,40,87.73,69.17,Average,Training
E0613,Sameer Dhoundial,54,AI & Data Science,Data Scientist,Full-Time,Permanent,B5,22.9,6.1,91.9,5,34,21,61.76,62.13,61.5,73.35,76.15,78.7,64.79,68.93,14.3,30,75.11,69.99,Average,Training
E0614,Pavan Gujjar,50,Operations,Process Analyst,Contract,6 Months,B5,23.0,16.9,86.2,8,38,25,65.79,74.58,69.32,64.82,73.9,83.9,70.99,74.79,7.5,25,70.25,72.18,Good,Training
E0615,Uttam Pawar,52,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,14.9,14.7,90.8,9,30,19,63.33,68.48,65.32,78.02,72.69,75.76,74.27,83.65,9.2,40,98.67,74.24,Good,Training
E0616,Shailesh Azad,44,Human Resources,HR Analyst,Full-Time,Permanent,B3,6.4,1.4,83.8,10,17,8,47.06,52.99,56.26,58.46,56.12,48.39,57.38,54.33,0.0,40,99.58,59.19,Needs Improvement,PIP
E0617,Shatrughna Gujral,54,Sales,Business Development Executive,Full-Time,Permanent,B5,30.3,14.4,66.2,17,34,18,52.94,67.13,63.12,69.29,75.1,77.98,68.19,64.87,8.0,25,63.25,65.72,Average,PIP
E0618,Arushi Chandravanshi,26,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B1,1.1,0.1,91.4,6,43,32,74.42,74.26,77.5,67.49,79.2,50.31,73.73,67.35,13.0,5,48.75,73.12,Good,Training
E0619,Shubhi Sethi,39,Sales,Business Development Executive,Full-Time,Permanent,B3,5.4,2.0,97.1,5,41,28,68.29,77.67,75.18,76.45,77.14,60.62,75.56,70.47,0.6,30,73.69,76.08,Good,Incentive
E0620,Indrani Bhattacharya,39,Human Resources,HR Executive,Full-Time,Permanent,B5,15.5,5.2,92.3,10,20,14,70.0,78.57,72.43,82.18,73.18,72.71,79.08,89.56,10.3,30,91.28,78.66,Good,Training
E0621,Nagendra Ojha,23,AI & Data Science,ML Engineer,Full-Time,Permanent,B1,0.6,0.0,80.0,13,20,16,80.0,82.44,81.69,84.57,74.49,63.85,79.31,78.43,5.6,30,75.48,79.61,Good,Incentive
E0622,Niharika Gambhir,40,Information Technology,Cloud Engineer,Full-Time,Permanent,B4,13.9,10.5,94.5,10,40,26,65.0,61.64,62.27,59.08,66.97,64.85,70.15,80.85,7.7,25,64.91,67.38,Average,Training
E0623,Prabhakar Dikshit,51,AI & Data Science,Data Scientist,Full-Time,Permanent,B5,24.1,1.7,88.6,11,26,18,69.23,74.08,67.19,73.35,69.89,74.78,71.63,68.71,9.2,25,79.48,73.16,Good,Training
E0624,Soham Rawat,57,Human Resources,HR Executive,Full-Time,Permanent,B5,29.7,22.4,92.1,7,30,21,70.0,80.41,73.44,83.83,70.62,76.62,74.82,84.02,1.6,15,68.27,77.61,Good,Training
E0625,Abhilash Chouhan,34,Sales,Sales Executive,Contract,6 Months,B3,5.9,3.3,92.3,8,23,20,86.96,74.2,76.39,81.7,89.38,65.68,77.2,84.68,0.0,20,78.12,81.34,Excellent,Incentive
E0626,Bharadwaj Raina,33,AI & Data Science,ML Engineer,Full-Time,Permanent,B3,6.5,5.5,73.4,23,18,9,50.0,62.02,63.89,59.91,63.63,54.8,67.75,68.51,0.8,25,66.92,61.98,Average,PIP
E0627,Madhurima Saini,37,Information Technology,Software Engineer,Full-Time,Permanent,B4,13.3,3.0,93.5,3,18,11,61.11,60.1,59.85,73.59,63.78,68.71,67.34,74.51,0.0,40,84.21,68.66,Average,Training
E0628,Premprakash Bhaskar,33,AI & Data Science,ML Engineer,Full-Time,Permanent,B2,3.3,0.3,97.3,7,27,19,70.37,72.11,69.34,79.5,62.43,50.04,67.81,65.03,6.8,15,64.0,72.02,Good,Training
E0629,Vijaya Kelkar,48,AI & Data Science,Data Analyst,Full-Time,Permanent,B4,14.6,8.2,81.3,7,43,31,72.09,76.63,69.37,65.46,65.22,71.65,75.04,79.41,21.8,10,63.02,71.64,Good,Training
E0630,Tanu Deshmukh,56,Sales,Business Development Executive,Full-Time,Permanent,B4,12.9,7.1,94.3,3,24,11,45.83,58.96,59.84,58.72,70.45,74.71,61.69,75.06,2.6,15,63.17,63.71,Average,Training
E0631,Jwala Chakraborty,39,Operations,Process Analyst,Part-Time,6 Months,B5,15.4,12.0,74.4,21,32,23,71.88,72.09,75.94,69.83,76.27,81.05,76.55,85.1,0.0,25,68.53,74.09,Good,Training
E0632,Chetana Narula,37,Human Resources,HR Executive,Full-Time,Permanent,B2,4.7,4.2,85.8,10,23,14,60.87,63.95,64.42,73.37,72.86,60.42,68.48,83.95,7.1,20,78.71,69.84,Average,Training
E0633,Anushka Guha,51,Sales,Account Manager,Full-Time,Permanent,B5,21.6,12.4,90.5,9,25,19,76.0,76.22,77.04,68.47,83.84,86.63,77.25,77.33,4.1,20,60.99,77.2,Good,Training
E0634,Ranjan Modanwal,54,Information Technology,Software Engineer,Full-Time,Permanent,B4,14.7,8.8,90.9,4,40,32,80.0,82.97,77.99,81.46,77.1,71.94,80.35,73.4,21.3,25,66.84,79.79,Good,Incentive
E0635,Vaishali Jhunjhunwala,36,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B4,12.8,10.4,92.0,6,44,33,75.0,76.19,75.79,69.42,68.54,76.46,78.32,76.68,12.4,15,70.85,75.63,Good,Training
E0636,Pratigya Dixit,33,Marketing,Marketing Executive,Full-Time,Permanent,B2,4.4,0.2,94.9,3,30,23,76.67,74.99,73.88,68.24,75.48,67.55,68.71,62.72,5.0,10,42.69,73.19,Good,Training
E0637,Meena Nair,39,Customer Support,Customer Success Associate,Full-Time,Permanent,B5,15.6,8.8,69.7,18,29,13,44.83,54.16,51.43,62.43,64.84,70.02,61.87,69.09,8.2,20,60.5,58.46,Needs Improvement,PIP
E0638,Sudeeksha Desai,50,Marketing,Marketing Analyst,Full-Time,Permanent,B5,22.5,22.0,84.4,6,22,13,59.09,70.7,63.55,68.64,62.14,70.55,64.14,61.93,6.2,15,55.21,66.54,Average,Training
E0639,Arunita Singh,38,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,9.3,1.4,97.7,6,15,9,60.0,65.97,62.81,74.55,80.57,67.81,66.13,72.22,0.0,30,85.16,71.89,Good,Training
E0640,Palak Shorey,42,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B5,16.8,3.5,83.6,8,37,26,70.27,68.26,67.82,72.2,62.71,80.43,67.95,72.03,8.5,25,73.81,71.12,Good,Training
E0641,Arpan Misra,27,Human Resources,HR Executive,Full-Time,Permanent,B2,4.0,3.6,68.6,17,23,9,39.13,49.35,54.85,60.15,74.19,58.49,57.62,58.14,5.1,50,84.11,57.72,Needs Improvement,PIP
E0642,Pratap Talwar,23,AI & Data Science,Data Analyst,Full-Time,Permanent,B1,0.3,0.3,91.5,8,28,21,75.0,81.49,74.13,74.69,62.35,59.21,75.67,65.58,0.0,25,82.08,75.31,Good,Training
E0643,Shubhendu Dadlani,37,Finance,Accountant,Full-Time,Permanent,B2,3.9,3.7,90.4,3,28,18,64.29,73.59,66.47,64.66,76.69,61.4,67.92,69.68,7.4,5,53.89,69.71,Average,Training
E0644,Saloni Priyadarshini,57,Finance,Finance Executive,Full-Time,Permanent,B4,13.1,6.1,96.5,5,33,29,87.88,88.33,85.09,81.58,84.28,68.54,85.21,84.44,4.9,5,57.07,84.27,Excellent,Incentive
